Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Алексеєнко,Емілія,Романівна,Жіноча,25-12-1980,Історик,хутір Зеленодольськ,"набережна Давида Ойстраха, буд. 3 кв. 8, Новодністровськ, 11803",076 521 89 97,iaroslavademianenko@example.com
Уманець,Мирослав,Максимович,Чоловіча,29-06-1960,Паралегал,селище Вільнянськ,"парк Рівності 1-й, буд. 580, Тячів, 09503",+380 32 389 01 72,zchernenko@example.com
Семенченко,Дан,Іванович,Чоловіча,04-10-1960,Фізик,хутір Інкерман,"набережна Дерибасівська, буд. 5, Златопіль, 51908",+380 65 571-29-07,lnesterenko@example.org
Каденюк,Лариса,Олександрівна,Жіноча,20-05-1960,Краєзнавець,хутір Добромиль,"набережна Гвоздичний, буд. 375, Скалат, 51331",+380 78 555 09 26,orestshmorhun@example.net
Дейнеко,Алевтин,Олександрович,Чоловіча,04-08-1991,Різноробочий,місто Угнів,"провулок Платанова, буд. 78 кв. 6, Чернігів, 23282",+380 (31) 036-05-86,qteslenko@example.org
Габелко,Давид,Андрійович,Чоловіча,14-03-1962,Патологоанатом,хутір Судак,"набережна Хаджибейський, буд. 64, Славутич, 45667",035 514 19 93,omelianadamchuk@example.com
Євдокименко,Орест,Романович,Чоловіча,22-12-2007,Інженер,хутір Білопілля,"узвіз Пилипа Орлика, буд. 63 кв. 885, Вишневе, 73574",021 452-68-43,oksanavakhnii@example.net
Терещук,Людмила,Борисівна,Жіноча,19-06-1974,Кіноактор,село Марганець,"проспект Персикова, буд. 4, Горохів, 46731",+380 57 769-19-06,ahunko@example.org
Симоненко,Нестор,Євгенович,Чоловіча,22-09-2004,Фрілансер,хутір Радехів,"провулок Осипова, буд. 07 кв. 603, Заводське, 57649",026 209-10-81,orynaandriishyn@example.net
Цибуленко,Гордій,Миколайович,Чоловіча,05-08-1991,Диригент,хутір Херсон,"парк Чорноморський 7-й, буд. 6, Теплодар, 53274",+380 42 997 49 51,lukiankonoplia@example.org
Чуприна,Франц,Сергійович,Чоловіча,11-12-2006,Кухар,місто Чигирин,"шосе Пересипська 2-га, буд. 3, Селидове, 61186",875-33-46,tovstolisleon@example.org
Дубина,Оксана,Євгенівна,Жіноча,01-12-1992,Ювелір,селище Бориспіль,"площа Лінія 28-ма, буд. 72, Золотоноша, 69582",020 468 50 34,vadym61@example.net
Бабʼяк,Едуард,Миколайович,Чоловіча,15-07-1939,Композитор,селище Федорівка,"набережна Житомирська, буд. 28, Вашківці, 26460",+380 16 425 20 55,gzhytskyianastasiia@example.org
Малик,Ольга,Олександрівна,Жіноча,09-09-1956,Дипломат,хутір Берестин,"шосе Лобачевського, буд. 5, Полонне, 31320",909-28-90,symonsahal@example.org
Баранець,Вадим,Олегович,Чоловіча,12-10-1959,Адвокат,селище Берислав,"проспект Китобійний 2-й, буд. 0 кв. 7, Дубровиця, 32297",715 36 92,edrobakha@example.net
Данькевич,Яків,Олегович,Чоловіча,01-08-1999,Менеджер,селище Ялта,"шосе Довженка, буд. 3, Вижниця, 05330",461-58-95,sviatoslava90@example.com
Талан,Руслан,Андрійович,Чоловіча,08-12-1948,Драматург,місто Вознесенськ,"узвіз Шевальових, буд. 5, Хоростків, 26654",379 82 49,vashchenko-zakharchenkosviatoslava@example.org
Рябець,Аарон,Іванович,Чоловіча,24-06-1980,Конструктор,хутір Хоростків,"набережна Наявний 3-й, буд. 929, Монастирище, 28499",+380 (85) 703-81-67,dashenkovasyl@example.org
Барабаш,Одарка,Павлівна,Жіноча,24-05-1960,Перекладач,село Запоріжжя,"набережна Привокзальний, буд. 39 кв. 3, Роздільна, 62892",881 99 45,levkodarahan@example.com
Дзиндра,Захар,Григорович,Чоловіча,13-07-2007,Художник,селище Рівне,"узвіз 19-та Лінія, буд. 1 кв. 155, Вуглегірськ, 52855",463-78-40,ykhomyk@example.com
Павличенко,Єфрем,Григорович,Чоловіча,01-06-1994,Паблік рилейшнз,місто Сватове,"узвіз Батуринська, буд. 21 кв. 3, Чортків, 57380",+380 16 971-75-04,geregaiustym@example.com
Дейнека,Віолетта,Борисівна,Жіноча,03-08-1973,Няня,хутір Вугледар,"сквер Маковий, буд. 27 кв. 9, Самар, 26177",094 785 29 42,umanetsboryslav@example.net
Рябовіл,Дмитро,Дмитрович,Чоловіча,22-03-1988,Педагог,селище Глобине,"шосе Лазурського, буд. 426, Красилів, 12438",026 979 16 33,slytvyn@example.com
Дейнеко,Артем,Степанович,Чоловіча,19-03-1964,Нотаріус,селище Молочанськ,"сквер Ольвійська, буд. 38 кв. 7, Устилуг, 02088",083-06-43,xshvedchenko@example.org
Прокопович,Мілена,Степанівна,Жіноча,11-11-1971,Будник,місто Старобільськ,"площа Заможна, буд. 496, Сквира, 86838",547-48-13,kyrylenkovitalii@example.com
Остапчук,Геннадій,Тарасович,Чоловіча,17-10-1954,Музичний редактор,село Апостолове,"шосе Уманська, буд. 406 кв. 559, Шептицький, 99112",036 687 58 43,ostaphavryliv@example.org
Яременко,Соломон,Олегович,Чоловіча,11-06-1944,Скульптор,хутір Алмазна,"проспект Андреєвського, буд. 8, Рудки, 19963",+380 47 007-03-80,adahaidai@example.com
Мазепа,Азар,Олегович,Чоловіча,13-05-1974,Каскадер,місто Долина,"проспект Лузанівський 2-й, буд. 54 кв. 512, Перевальськ, 88643",+380 91 933-92-99,iakymenkohanna@example.com
Лемешко,Ліза,Михайлівна,Жіноча,25-11-2008,Складальник,місто Вугледар,"шосе Дальницька, буд. 959 кв. 7, Іловайськ, 68800",+380 05 412 82 07,venedykt95@example.net
Токар,Станіслав,Андрійович,Чоловіча,27-02-1967,Ґрунтознавець,село Судова Вишня,"узвіз Сергія Ядова, буд. 906, Сіверськ, 58634",+380 69 260-58-37,solomiiazasenko@example.com
Шило,Пантелеймон,Борисович,Чоловіча,13-09-1990,Музикознавець,хутір Острог,"шосе Астрономічна, буд. 534 кв. 755, Погребище, 91401",+380 11 399 01 12,ilchenkosymon@example.com
Зарудний,Пріска,Тарасівна,Жіноча,26-06-1944,Астроном,селище Зіньків,"набережна Ніли Крюкової, буд. 15 кв. 75, Носівка, 85770",+380 (82) 459-01-61,ruslanievtushok@example.net
Талан,Панас,Павлович,Чоловіча,07-03-1943,Дизайнер,село Монастирище,"узвіз Баркасний, буд. 6 кв. 897, Мала Виска, 34456",+380 (59) 456-47-42,khomahavriushenko@example.com
Іванченко,Ірена,Миколаївна,Жіноча,19-01-1991,Режисер,місто Ворожба,"площа Аеродромний 3-й, буд. 747, Василівка, 07996",+380 64 268 78 60,rzinkevych@example.org
Власюк,Ярема,Володимирович,Чоловіча,28-11-2000,Літературознавець,селище Березне,"набережна Ольги Благовидової, буд. 1 кв. 261, Новодністровськ, 05084",493 79 98,viktor36@example.net
Гуцуляк,Єфрем,Максимович,Чоловіча,15-08-1953,М'ясник,хутір Острог,"вулиця Кордонна, буд. 228 кв. 399, Фастів, 78746",+380 84 104-80-62,tymofiipylypenko@example.net
Тичина,Олесь,Олегович,Чоловіча,09-11-1941,Палеонтолог,село Алушта,"шосе Обільний 1-й, буд. 7 кв. 922, Отаманівка, 54562",+380 01 569-31-61,ivyshyvanyi@example.net
Дробаха,Ліза,Романівна,Жіноча,11-05-1991,Реабілітолог,селище Попасна,"сквер Садова 1-ша, буд. 78, Тростянець, 98679",393-16-11,tereza53@example.net
Єрошенко,Прохір,Романович,Чоловіча,13-05-1971,Прокурор,село Шахтарськ,"вулиця Валерія Лобановського, буд. 3 кв. 8, Кривий Ріг, 22808",+380 35 756-80-68,zhurbaprokhir@example.org
Корпанюк,Семен,Олегович,Чоловіча,03-01-1960,Електромонтажник,село Кілія,"набережна Городня, буд. 428 кв. 682, Калуш, 93933",+380 08 966-83-17,oksanashynkarenko@example.com
Шеремета,Тереза,Володимирівна,Жіноча,01-09-1957,Пілот,хутір Чигирин,"вулиця Назарівська, буд. 7, Лутугине, 74214",+380 (42) 777-32-11,trokhymredko@example.org
